id,DATE,P_CONVERT_30D_XGB,ALEXA_RANK,EMPLOYEE_RANGE,INDUSTRY,behavior_pattern,likely_stage,playbook_focus,urgency,subject_line,opening_line,genai_raw
1436,2020-07-26,0.90149033,16000001.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I noticed your team hasn't been active lately, and I'd love to help you get back on track.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I noticed your team hasn't been active lately, and I'd love to help you get back on track.""}"
5182,2020-07-26,0.89339256,16000001.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
3608,2020-07-26,0.8586385,6278610.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Engagement,We've noticed a dip in your team's activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Engagement"", ""opening_line"": ""We've noticed a dip in your team's activity and would love to help you get back on track.""}"
2770,2020-07-26,0.8535243,4110064.0,26 to 50,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Get Your Team Engaged Again,"I noticed your team's activity has slowed down, and I'm here to help re-engage them.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Get Your Team Engaged Again"", ""opening_line"": ""I noticed your team's activity has slowed down, and I'm here to help re-engage them.""}"
5196,2020-07-26,0.8514175,265293.0,201 to 1000,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,I've noticed a drop in activity and wanted to check in on how we can support your team.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed a drop in activity and wanted to check in on how we can support your team.""}"
3828,2020-07-26,0.84780324,16000001.0,6 to 10,CONSUMER_ELECTRONICS,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Revive Your Engagement,We've noticed a dip in your team's activity and would love to help you get back on track.,"{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Revive Your Engagement"", ""opening_line"": ""We've noticed a dip in your team's activity and would love to help you get back on track.""}"
4809,2020-07-26,0.8353599,3772095.0,11 to 25,COMPUTER_SOFTWARE,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.""}"
5001,2020-07-26,0.80425745,3780704.0,6 to 10,COMPUTER_SOFTWARE,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's recent activity has slowed down, and I'm here to help get things moving again.""}"
469,2020-07-26,0.8031626,3308185.0,11 to 25,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Get Your Team Engaged Again,"I've noticed your team's activity has slowed down, and I'm here to help re-engage them.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Get Your Team Engaged Again"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help re-engage them.""}"
2120,2020-07-26,0.791686,1028080.0,6 to 10,,Multi-user low activity,Stalled,Reactivation,reactivate,Let's Reignite Your Team's Engagement,"I've noticed your team's activity has slowed down, and I'm here to help get things moving again.","{""behavior_pattern"": ""Multi-user low activity"", ""likely_stage"": ""Stalled"", ""playbook_focus"": ""Reactivation"", ""urgency"": ""reactivate"", ""subject_line"": ""Let's Reignite Your Team's Engagement"", ""opening_line"": ""I've noticed your team's activity has slowed down, and I'm here to help get things moving again.""}"
